"112年10月25日 每日收盤行情(半導體業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"4967","十銓","5,380,734","3,268","405,537,725","76.80","76.90","74.60","74.60","-","1.60","74.60","9","74.70","70","",
"4968","立積","1,642,201","1,404","209,048,127","126.50","129.00","126.00","127.00","+","1.50","126.50","35","127.00","11","",
"5222","全訊","255,505","855","42,761,242","166.50","169.00","166.00","166.50"," ","0.00","166.50","12","167.00","4","31.36",
"5269","祥碩","3,273,593","4,625","4,440,291,590","1,285.00","1,395.00","1,260.00","1,325.00","+","55.00","1,325.00","2","1,330.00","3","47.41",
"5285","界霖","114,890","109","8,553,501","74.00","75.50","74.00","74.00","+","0.50","74.00","1","74.30","1","31.49",
"5471","松翰","909,401","774","44,651,071","48.00","49.45","48.00","49.15","+","1.20","49.15","1","49.20","23","41.65",
"6202","盛群","1,748,905","1,600","114,171,917","65.20","65.80","64.60","65.20","+","0.10","65.10","26","65.20","3","44.35",
"6239","力成","2,223,650","2,068","237,330,528","107.00","108.00","106.00","106.00","-","1.50","106.00","381","106.50","11","12.76",
"6243","迅杰","9,762,655","5,646","515,549,756","50.50","53.50","50.50","53.50","+","4.80","53.50","10,841","--","0","33.86",
"6257","矽格","8,390,248","5,787","517,378,288","61.30","62.00","60.70","62.00","+","1.30","61.90","61","62.00","437","14.39",
"6271","同欣電","1,490,347","4,225","222,310,431","149.50","152.00","147.50","147.50","-","2.00","147.50","52","148.00","1","14.65",
"6415","矽力*-KY","3,453,357","3,320","1,009,678,908","280.50","299.00","280.50","293.00","+","13.00","293.00","50","293.50","1","45.15",
"6451","訊芯-KY","6,525,651","5,649","966,351,208","150.50","154.50","144.00","145.00","-","4.00","145.00","38","145.50","29","53.31",
"6515","穎崴","1,435,375","2,137","984,642,229","680.00","699.00","673.00","673.00","+","15.00","673.00","10","678.00","3","22.09",
"6525","捷敏-KY","34,635","45","2,277,212","65.50","65.90","65.50","65.60","+","0.30","65.50","4","65.60","1","11.67",
"6526","達發","1,058,152","1,687","449,566,245","421.00","430.50","421.00","422.00","+","3.00","421.50","11","422.00","8","50.66",
"6531","愛普*","8,194,570","7,190","3,127,457,476","372.50","388.00","372.50","382.50","+","14.00","382.50","5","383.00","18","47.34",
"6533","晶心科","1,739,013","2,090","705,407,163","394.00","412.00","393.00","412.00","+","23.50","411.50","1","412.00","4","329.60",
"6552","易華電","253,867","298","9,701,045","37.50","38.80","37.50","38.05","+","1.00","38.05","1","38.15","2","",
"6573","虹揚-KY","83,050","55","1,248,460","14.90","15.15","14.85","15.10","+","0.25","15.05","2","15.10","3","",
"6695","芯鼎","7,855,545","5,183","384,928,735","47.40","51.60","47.35","47.80","+","0.45","47.75","4","47.80","14","",
"6719","力智","2,287,679","2,640","573,145,239","240.00","255.00","240.00","251.00","+","13.50","250.50","16","251.00","25","65.36",
"6756","威鋒電子","734,581","989","155,435,658","202.50","217.00","202.50","211.50","+","9.00","211.00","10","211.50","6","53.27",
"6770","力積電","20,642,290","8,706","570,142,540","26.90","28.15","26.70","27.50","+","0.65","27.50","222","27.55","31","12.73",
"6789","采鈺","3,717,136","3,165","823,451,711","207.00","225.50","206.50","225.50","+","20.50","225.50","59","--","0","81.41",
"6799","來頡","1,432,302","1,201","185,994,413","127.00","133.50","127.00","128.00","+","2.00","128.00","71","128.50","5","23.23",
"6854","錼創科技-KY創","187,000","136","16,014,700","86.00","90.40","83.80","88.00","+","2.00","87.10","1","88.00","8","",
"8016","矽創","719,371","2,417","199,513,081","279.50","281.00","275.50","275.50","-","4.00","275.50","20","276.00","2","16.58",
"8028","昇陽半導體","440,431","392","22,563,023","50.60","51.50","50.60","51.20","+","0.80","51.20","11","51.30","14","21.69",
"8081","致新","337,711","3,544","87,522,965","261.00","262.50","256.00","256.00","-","5.00","256.00","12","257.00","27","17.25",
"8110","華東","54,520,150","16,871","903,731,812","16.80","17.10","15.95","16.75","+","0.40","16.70","43","16.75","347","40.85",
"8131","福懋科","225,216","198","8,828,589","39.05","39.30","39.05","39.30","+","0.30","39.05","9","39.30","7","12.68",
"8150","南茂","13,003,324","9,029","554,686,074","42.65","43.80","41.75","42.00","-","0.15","41.95","104","42.00","3","18.42",
"8261","富鼎","915,610","797","80,215,665","85.80","88.50","85.80","86.90","+","1.30","86.90","19","87.00","1","22.69",
"8271","宇瞻","299,072","311","17,311,118","58.00","58.30","57.60","57.60","-","0.40","57.60","11","57.80","2","14.12",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。",

