項次,停車場名稱,緯度,經度,小汽車,機車,自行車
116,捷運三民高中站自行車停車區,25.085796,121.473515,0,0,100
117,捷運徐匯中學站自行車停車區,25.080262,121.480022,0,0,100
118,捷運徐匯中學站自行車停車區,25.08033,121.479617,0,0,76
119,捷運三和國中站自行車停車區,25.07717,121.48681,0,0,138
120,捷運三重國小站自行車停車區,25.070731,121.496537,0,0,202
121,捷運迴龍站自行車停車區,25.0210597,121.410872,0,0,60
122,捷運迴龍站機車停車區,25.021215,121.410928,0,52,0
123,捷運迴龍站機車停車區,25.021451,121.410754,0,100,0
124,捷運迴龍站自行車停車區,25.02209,121.411829,0,0,67
125,捷運迴龍站機車停車區,25.022622,121.412905,0,60,0
126,捷運丹鳳站自行車停車區,25.029046,121.422572,0,0,35
127,捷運丹鳳站機車停車區,25.028599,121.422671,0,38,0
128,捷運丹鳳站機車停車區,25.029313,121.423656,0,30,0
129,捷運丹鳳站自行車停車區,25.0285429,121.4226982,0,0,34
130,捷運大安森林公園站自行車停車區,25.033292,121.536287,0,0,120
131,捷運大安森林公園站自行車停車區,25.0334083,121.5342513,0,0,113
132,捷運中正紀念堂站自行車停車區,25.03238672,121.5187656,0,0,20
133,捷運臺大醫院站自行車停車區,25.040602,121.515741,0,0,40
134,捷運中山站自行車停車區,25.053376,121.520333,0,0,23
135,捷運雙連站自行車停車區,25.057203,121.520553,0,0,20
136,捷運雙連站自行車停車區,25.058032,121.520792,0,0,38
137,捷運雙連站自行車停車區,25.05876,121.520577,0,0,30
138,捷運民權西路站自行車停車區,25.062126,121.519791,0,0,51
139,捷運民權西路站自行車停車區,25.063156,121.518638,0,0,52
140,捷運圓山站自行車停車區,25.071951,121.520135,0,0,100
141,捷運圓山站自行車停車區,25.07205,121.520379,0,0,105
142,捷運明德站自行車停車區,25.109383,121.518906,0,0,100
143,捷運明德站自行車停車區,25.109918,121.518874,0,0,90
144,捷運明德站自行車停車區,25.108912,121.519255,0,0,188
145,捷運明德站機車停車區,25.108708,121.519545,0,90,0
146,捷運明德站機車停車區,25.110824,121.518367,0,80,0
147,捷運明德站機車停車區,25.110651,121.517997,0,64,0
148,捷運奇岩站自行車停車區,25.125963,121.500885,0,0,100
149,捷運奇岩站自行車停車區,25.12633,121.501067,0,0,189
150,捷運奇岩站機車停車區,25.126592,121.500914,0,154,0
151,捷運復興崗站自行車停車區,25.137845,121.485368,0,0,60
152,捷運復興崗站自行車停車區,25.137505,121.484338,0,0,57
153,捷運復興崗站機車停車區,25.137699,121.486216,0,68,0
154,捷運關渡站自行車停車區,25.124824,121.46681,0,0,50
155,捷運關渡站自行車停車區,25.124756,121.46666,0,0,60
156,捷運關渡站自行車停車區,25.125016,121.466536,0,0,82
157,捷運關渡站機車停車區,25.125196,121.466676,0,122,0
158,捷運竹圍站自行車停車區,25.137464,121.459627,0,0,112
159,捷運竹圍站機車停車區,25.137753,121.459729,0,50,0
160,捷運竹圍站機車停車區,25.135924,121.459686,0,101,0
161,捷運紅樹林站機車停車區,25.15255,121.45915,0,505,0
162,捷運景美站自行車停車區,24.99344,121.54125,0,0,57
163,捷運木柵站自行車停車區,24.99825,121.5728,0,0,80
164,捷運文德站自行車停車區,25.07862,121.58575,0,0,16
165,捷運文德站自行車停車區,25.07844,121.85472,0,0,20
166,捷運南港展覽館站自行車停車區,25.0555,121.61848,0,0,150
167,捷運南港展覽館站自行車停車區,25.05468,121.61842,0,0,100
168,捷運南港展覽館站自行車停車區,25.05466,121.61674,0,0,231
169,捷運南港展覽館機車停車場,25.05547,121.61895,0,1050,0
170,捷運淡水站自行車停車區,25.16737,121.44704,0,0,98
171,捷運北投站機車停車區,25.13288,121.49755,0,562,0
172,捷運北投站自行車停車區,25.1319,121.49891,0,0,239
173,捷運北投站機踏車停車區,25.1325,121.49802,0,0,340
174,捷運新北投站機車停車區,25.13704,121.50359,0,2,0
175,捷運新北投站機車停車區,25.13682,121.50227,0,5,0
176,捷運新北投站自行車停車區,25.13686,121.50211,0,0,20
177,捷運石牌站機踏車停車區,25.11535,121.5148,0,0,100
178,捷運石牌站機踏車停車區,25.11472,121.51521,0,0,110
179,捷運石牌站機車停車區,25.11556,121.515,0,271,0
180,捷運石牌站自行車停車區,25.11512,121.51532,0,0,120
181,捷運石牌站自行車停車區,25.11366,121.51597,0,0,286
182,捷運芝山站轉乘停車場,25.10463,121.52242,0,100,0
183,捷運芝山站自行車停車區,25.10149,121.52281,0,0,200
184,捷運芝山站自行車停車區,25.10256,121.52277,0,0,230
185,捷運芝山站自行車停車區,25.10385,121.52251,0,0,100
186,捷運芝山站自行車停車區,25.10319,121.52229,0,0,157
187,捷運芝山站機車停車區,25.10134,121.5229,0,50,0
188,捷運芝山站機車停車區,25.1045,121.52239,0,60,0
189,捷運芝山站機車停車區,25.10434,121.5221,0,77,0
190,捷運士林站轉乘停車場,25.09247,121.52634,0,201,0
191,捷運士林站自行車停車區,25.09401,121.52621,0,0,67
192,捷運士林站自行車停車區,25.09298,121.52655,0,0,112
193,捷運劍潭站自行車停車區,25.08587,121.52532,0,0,300
194,捷運劍潭站自行車停車區,25.08306,121.52479,0,0,250
195,捷運新店站自行車停車區,24.95871,121.53778,0,0,28
196,捷運蘆洲站自行車停車區,25.09108,121.46502,0,0,233
197,捷運永寧站自行車停車區,24.96601,121.43562,0,0,50
198,捷運永寧站自行車停車區,24.9664,121.43529,0,0,66
199,捷運永寧站自行車停車區,24.96829,121.43738,0,0,72
200,捷運永寧站自行車停車區,24.96699,121.43663,0,0,46
201,捷運永寧站轉乘停車場,24.96537,121.43481,0,1137,0
202,捷運府中站自行車停車區,25.00815,121.45864,0,0,53
203,捷運府中站自行車停車區,25.00911,121.45945,0,0,155
